Medicare Advantage Monthly Capitation Rates for 2026 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2026 Rate,Parts A&B 3.5% Bonus 2026 Rate,Parts A&B 0% Bonus 2026 Rate,Parts A&B ESRD 2026 Rate
01000,ALABAMA,AUTAUGA,"1,369.86","1,336.99","1,260.27","8,984.56"
01010,ALABAMA,BALDWIN,"1,380.10","1,380.10","1,318.54","8,984.56"
01020,ALABAMA,BARBOUR,"1,263.72","1,263.72","1,263.72","8,984.56"
01030,ALABAMA,BIBB,"1,334.17","1,300.10","1,220.62","8,984.56"
01040,ALABAMA,BLOUNT,"1,330.28","1,330.28","1,255.28","8,984.56"
01050,ALABAMA,BULLOCK,"1,250.84","1,239.28","1,201.48","8,984.56"
01060,ALABAMA,BUTLER,"1,273.99","1,258.07","1,220.91","8,984.56"
01070,ALABAMA,CALHOUN,"1,233.70","1,217.25","1,178.87","8,984.56"
01080,ALABAMA,CHAMBERS,"1,213.52","1,198.35","1,162.96","8,984.56"
01090,ALABAMA,CHEROKEE,"1,241.15","1,241.15","1,241.15","8,984.56"
01100,ALABAMA,CHILTON,"1,284.40","1,266.05","1,223.24","8,984.56"
01110,ALABAMA,CHOCTAW,"1,254.26","1,254.26","1,223.75","8,984.56"
01120,ALABAMA,CLARKE,"1,171.37","1,171.37","1,171.37","8,984.56"
01130,ALABAMA,CLAY,"1,245.06","1,229.50","1,193.18","8,984.56"
01140,ALABAMA,CLEBURNE,"1,249.52","1,249.52","1,213.70","8,984.56"
01150,ALABAMA,COFFEE,"1,249.30","1,233.68","1,197.24","8,984.56"
01160,ALABAMA,COLBERT,"1,246.87","1,230.25","1,191.45","8,984.56"
01170,ALABAMA,CONECUH,"1,284.07","1,266.35","1,225.03","8,984.56"
01180,ALABAMA,COOSA,"1,249.07","1,249.07","1,249.07","8,984.56"
01190,ALABAMA,COVINGTON,"1,255.60","1,240.10","1,201.00","8,984.56"
01200,ALABAMA,CRENSHAW,"1,200.97","1,200.97","1,200.97","8,984.56"
01210,ALABAMA,CULLMAN,"1,251.10","1,234.42","1,195.50","8,984.56"
01220,ALABAMA,DALE,"1,255.20","1,255.20","1,229.29","8,984.56"
01230,ALABAMA,DALLAS,"1,243.07","1,243.07","1,243.07","8,984.56"
01240,ALABAMA,DEKALB,"1,218.47","1,202.22","1,164.31","8,984.56"
01250,ALABAMA,ELMORE,"1,373.99","1,341.01","1,264.07","8,984.56"
01260,ALABAMA,ESCAMBIA,"1,243.89","1,243.89","1,239.71","8,984.56"
01270,ALABAMA,ETOWAH,"1,297.14","1,279.84","1,239.49","8,984.56"
01280,ALABAMA,FAYETTE,"1,248.46","1,248.46","1,232.33","8,984.56"
01290,ALABAMA,FRANKLIN,"1,270.38","1,252.86","1,211.98","8,984.56"
01300,ALABAMA,GENEVA,"1,256.45","1,244.18","1,207.43","8,984.56"
01310,ALABAMA,GREENE,"1,245.94","1,245.94","1,221.74","8,984.56"
01320,ALABAMA,HALE,"1,252.07","1,252.07","1,252.07","8,984.56"
01330,ALABAMA,HENRY,"1,253.24","1,253.24","1,253.24","8,984.56"
01340,ALABAMA,HOUSTON,"1,252.38","1,252.38","1,240.18","8,984.56"
01350,ALABAMA,JACKSON,"1,217.80","1,202.73","1,164.81","8,984.56"
01360,ALABAMA,JEFFERSON,"1,323.94","1,289.02","1,207.55","8,984.56"
01370,ALABAMA,LAMAR,"1,204.35","1,204.35","1,204.35","8,984.56"
01380,ALABAMA,LAUDERDALE,"1,213.97","1,198.79","1,163.39","8,984.56"
01390,ALABAMA,LAWRENCE,"1,254.96","1,254.96","1,232.36","8,984.56"
01400,ALABAMA,LEE,"1,181.20","1,166.43","1,131.98","8,984.56"
01410,ALABAMA,LIMESTONE,"1,260.12","1,243.32","1,204.12","8,984.56"
01420,ALABAMA,LOWNDES,"1,322.98","1,291.22","1,217.14","8,984.56"
