Medicare Advantage Monthly Capitation Rates for 2026 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $6.00.",,,,
Code,State,County Name,Parts A&B 2026 Rate,Parts A&B ESRD 2026 Rate
01000,ALABAMA,AUTAUGA,"1,396.41","9,080.46"
01010,ALABAMA,BALDWIN,"1,396.41","9,080.46"
01020,ALABAMA,BARBOUR,"1,308.68","9,080.46"
01030,ALABAMA,BIBB,"1,381.61","9,080.46"
01040,ALABAMA,BLOUNT,"1,350.05","9,080.46"
01050,ALABAMA,BULLOCK,"1,263.49","9,080.46"
01060,ALABAMA,BUTLER,"1,393.99","9,080.46"
01070,ALABAMA,CALHOUN,"1,263.49","9,080.46"
01080,ALABAMA,CHAMBERS,"1,263.49","9,080.46"
01090,ALABAMA,CHEROKEE,"1,245.62","9,080.46"
01100,ALABAMA,CHILTON,"1,423.98","9,080.46"
01110,ALABAMA,CHOCTAW,"1,314.50","9,080.46"
01120,ALABAMA,CLARKE,"1,263.49","9,080.46"
01130,ALABAMA,CLAY,"1,263.49","9,080.46"
01140,ALABAMA,CLEBURNE,"1,263.49","9,080.46"
01150,ALABAMA,COFFEE,"1,263.49","9,080.46"
01160,ALABAMA,COLBERT,"1,335.91","9,080.46"
01170,ALABAMA,CONECUH,"1,603.83","9,080.46"
01180,ALABAMA,COOSA,"1,263.49","9,080.46"
01190,ALABAMA,COVINGTON,"1,263.49","9,080.46"
01200,ALABAMA,CRENSHAW,"1,263.49","9,080.46"
01210,ALABAMA,CULLMAN,"1,291.43","9,080.46"
01220,ALABAMA,DALE,"1,263.49","9,080.46"
01230,ALABAMA,DALLAS,"1,263.49","9,080.46"
01240,ALABAMA,DEKALB,"1,263.49","9,080.46"
01250,ALABAMA,ELMORE,"1,396.41","9,080.46"
01260,ALABAMA,ESCAMBIA,"1,255.90","9,080.46"
01270,ALABAMA,ETOWAH,"1,352.36","9,080.46"
01280,ALABAMA,FAYETTE,"1,263.49","9,080.46"
01290,ALABAMA,FRANKLIN,"1,485.38","9,080.46"
01300,ALABAMA,GENEVA,"1,263.49","9,080.46"
01310,ALABAMA,GREENE,"1,263.49","9,080.46"
01320,ALABAMA,HALE,"1,303.36","9,080.46"
01330,ALABAMA,HENRY,"1,263.49","9,080.46"
01340,ALABAMA,HOUSTON,"1,263.49","9,080.46"
01350,ALABAMA,JACKSON,"1,235.16","9,080.46"
01360,ALABAMA,JEFFERSON,"1,396.41","9,080.46"
01370,ALABAMA,LAMAR,"1,214.68","9,080.46"
01380,ALABAMA,LAUDERDALE,"1,263.49","9,080.46"
01390,ALABAMA,LAWRENCE,"1,263.49","9,080.46"
01400,ALABAMA,LEE,"1,263.49","9,080.46"
01410,ALABAMA,LIMESTONE,"1,396.41","9,080.46"
01420,ALABAMA,LOWNDES,"1,396.41","9,080.46"
01430,ALABAMA,MACON,"1,263.49","9,080.46"
01440,ALABAMA,MADISON,"1,396.41","9,080.46"
01450,ALABAMA,MARENGO,"1,226.56","9,080.46"
01460,ALABAMA,MARION,"1,316.53","9,080.46"
01470,ALABAMA,MARSHALL,"1,263.49","9,080.46"
01480,ALABAMA,MOBILE,"1,453.32","9,080.46"
01490,ALABAMA,MONROE,"1,347.77","9,080.46"
01500,ALABAMA,MONTGOMERY,"1,396.41","9,080.46"
01510,ALABAMA,MORGAN,"1,263.49","9,080.46"
01520,ALABAMA,PERRY,"1,263.49","9,080.46"
01530,ALABAMA,PICKENS,"1,212.63","9,080.46"
01540,ALABAMA,PIKE,"1,263.49","9,080.46"
01550,ALABAMA,RANDOLPH,"1,386.49","9,080.46"
01560,ALABAMA,RUSSELL,"1,396.41","9,080.46"
01570,ALABAMA,ST. CLAIR,"1,396.41","9,080.46"
01580,ALABAMA,SHELBY,"1,515.12","9,080.46"
01590,ALABAMA,SUMTER,"1,280.26","9,080.46"
01600,ALABAMA,TALLADEGA,"1,293.75","9,080.46"
01610,ALABAMA,TALLAPOOSA,"1,263.49","9,080.46"
01620,ALABAMA,TUSCALOOSA,"1,254.60","9,080.46"
01630,ALABAMA,WALKER,"1,396.41","9,080.46"
01640,ALABAMA,WASHINGTON,"1,227.74","9,080.46"
01650,ALABAMA,WILCOX,"1,263.49","9,080.46"
01660,ALABAMA,WINSTON,"1,501.31","9,080.46"
02013,ALASKA,ALEUTIANS EAST,"1,818.97","9,926.33"
02016,ALASKA,ALEUTIANS WEST,"1,818.97","9,926.33"
02020,ALASKA,ANCHORAGE,"1,424.85","9,926.33"
02050,ALASKA,BETHEL,"1,708.04","9,926.33"
02060,ALASKA,BRISTOL BAY,"1,615.22","9,926.33"
02063,ALASKA,CHUGACH,"1,824.82","9,926.33"
02066,ALASKA,COPPER RIVER,"1,824.82","9,926.33"
02068,ALASKA,DENALI,"1,923.62","9,926.33"
02070,ALASKA,DILLINGHAM,"2,095.18","9,926.33"
02090,ALASKA,FAIRBANKS NORTH STAR,"1,655.60","9,926.33"
02100,ALASKA,HAINES,"1,713.17","9,926.33"
02105,ALASKA,HOONAH-ANGOON,"1,781.05","9,926.33"
02110,ALASKA,JUNEAU,"1,715.48","9,926.33"
02122,ALASKA,KENAI PENINSULA,"1,791.87","9,926.33"
02130,ALASKA,KETCHIKAN GATEWAY,"1,675.82","9,926.33"
02150,ALASKA,KODIAK ISLAND,"1,796.40","9,926.33"
02164,ALASKA,LAKE AND PENINSULA,"2,095.18","9,926.33"
02170,ALASKA,MATANUSKA-SUSITNA,"1,502.95","9,926.33"
02180,ALASKA,NOME,"2,314.64","9,926.33"
02185,ALASKA,NORTH SLOPE,"2,729.90","9,926.33"
02188,ALASKA,NORTHWEST ARCTIC,"1,964.14","9,926.33"
02195,ALASKA,PETERSBURG,"1,997.83","9,926.33"
02198,ALASKA,PRINCE OF WALES-HYDER,"1,675.25","9,926.33"
02220,ALASKA,SITKA,"2,273.26","9,926.33"
02230,ALASKA,SKAGWAY,"1,781.05","9,926.33"
02240,ALASKA,SOUTHEAST FAIRBANKS,"1,590.01","9,926.33"
02270,ALASKA,WADE HAMPTON (KUSILVAK),"1,845.01","9,926.33"
02275,ALASKA,WRANGELL,"1,997.83","9,926.33"
02282,ALASKA,YAKUTAT,"1,781.05","9,926.33"
02290,ALASKA,YUKON-KOYUKUK,"1,923.62","9,926.33"
03000,ARIZONA,APACHE,"1,406.71","9,840.56"
03010,ARIZONA,COCHISE,"1,295.87","9,840.56"
03020,ARIZONA,COCONINO,"1,439.81","9,840.56"
03030,ARIZONA,GILA,"1,499.87","9,840.56"
03040,ARIZONA,GRAHAM,"1,265.03","9,840.56"
03050,ARIZONA,GREENLEE,"1,306.68","9,840.56"
03055,ARIZONA,LA PAZ,"1,385.51","9,840.56"
03060,ARIZONA,MARICOPA,"1,396.41","9,840.56"
03070,ARIZONA,MOHAVE,"1,396.41","9,840.56"
03080,ARIZONA,NAVAJO,"1,362.89","9,840.56"
03090,ARIZONA,PIMA,"1,396.41","9,840.56"
03100,ARIZONA,PINAL,"1,396.41","9,840.56"
03110,ARIZONA,SANTA CRUZ,"1,263.49","9,840.56"
03120,ARIZONA,YAVAPAI,"1,300.15","9,840.56"
03130,ARIZONA,YUMA,"1,294.71","9,840.56"
04000,ARKANSAS,ARKANSAS,"1,263.49","8,905.09"
04010,ARKANSAS,ASHLEY,"1,308.95","8,905.09"
04020,ARKANSAS,BAXTER,"1,263.49","8,905.09"
04030,ARKANSAS,BENTON,"1,396.41","8,905.09"
04040,ARKANSAS,BOONE,"1,263.49","8,905.09"
04050,ARKANSAS,BRADLEY,"1,418.83","8,905.09"
04060,ARKANSAS,CALHOUN,"1,373.32","8,905.09"
04070,ARKANSAS,CARROLL,"1,263.49","8,905.09"
04080,ARKANSAS,CHICOT,"1,426.97","8,905.09"
04090,ARKANSAS,CLARK,"1,263.49","8,905.09"
04100,ARKANSAS,CLAY,"1,364.27","8,905.09"
04110,ARKANSAS,CLEBURNE,"1,263.49","8,905.09"
04120,ARKANSAS,CLEVELAND,"1,343.13","8,905.09"
04130,ARKANSAS,COLUMBIA,"1,263.49","8,905.09"
04140,ARKANSAS,CONWAY,"1,263.49","8,905.09"
