2026 REGIONAL RATES,,,
Region,  0% Bonus Rate ,  3.5% Bonus Rate ,  5% Bonus Rate 
01," 1,195.67 "," 1,233.91 "," 1,247.85 "
02," 1,225.38 "," 1,269.72 "," 1,288.58 "
03," 1,304.36 "," 1,353.22 "," 1,370.82 "
04," 1,252.73 "," 1,298.11 "," 1,317.56 "
05," 1,316.89 "," 1,364.17 "," 1,384.02 "
06," 1,214.19 "," 1,266.90 "," 1,288.26 "
07," 1,203.05 "," 1,241.70 "," 1,256.97 "
08," 1,223.29 "," 1,259.96 "," 1,274.40 "
09," 1,264.06 "," 1,310.03 "," 1,328.78 "
10," 1,219.25 "," 1,267.27 "," 1,285.48 "
11," 1,208.62 "," 1,259.00 "," 1,279.44 "
12," 1,201.98 "," 1,262.47 "," 1,287.35 "
13," 1,241.29 "," 1,274.19 "," 1,286.24 "
14," 1,211.39 "," 1,252.68 "," 1,269.38 "
15," 1,221.85 "," 1,266.89 "," 1,283.98 "
16," 1,248.02 "," 1,288.91 "," 1,305.57 "
17," 1,273.26 "," 1,322.54 "," 1,343.38 "
18," 1,255.26 "," 1,299.88 "," 1,314.77 "
19," 1,223.00 "," 1,259.01 "," 1,270.63 "
20," 1,202.52 "," 1,257.64 "," 1,280.10 "
21," 1,262.49 "," 1,309.48 "," 1,322.99 "
22," 1,320.86 "," 1,375.13 "," 1,398.06 "
23," 1,199.40 "," 1,251.89 "," 1,272.98 "
24," 1,300.23 "," 1,347.16 "," 1,366.96 "
25," 1,103.29 "," 1,155.12 "," 1,174.62 "
26," 1,270.32 "," 1,315.84 "," 1,335.35 "
