Table 1: Contract Year (CY) 2026 Physical Therapy and Speech-language Pathology Medicare FFS Data Projections,,,,,
Provider Specialties,Office Allowed Professional Costs (excluding drugs),Number of Visits,Percent of Total,Weighted Average (Column B x D),
Physical Medicine and Rehabilitation,192.94,"1,574,306",88.42%,$170.60,
Speech-language pathologists,139.00,"206,111",11.58%,$16.09,
Physical Therapy and Speech-language Pathology (Total),," 1,780,417 ",100.00%,$186.69,
,,,,,
,,,,,
Table 2: Contract Year (CY) 2026 Physical Therapy and Speech-language Pathology Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP,
A,CY 2026 projected total average Medicare FFS allowed amount*,$186.69 ,,,
B,CY 2026 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%,
C,Unrounded actuarially equivalent copayment value to CY 2026 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$93.35 ,$74.68 ,$56.01 ,
D,Final CY 2026 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$95.00 ,$75.00 ,$55.00 ,
"*This amount is based on 2024 Medicare FFS cost and utilization data of provider specialties in an office setting and the Office of the Actuary's (OACT's) projections of cost changes between 2024 to 2026. This amount represents the CY 2026 projected total average Medicare FFS allowed amount per physical therapy or speech-therapy visit (excluding drug costs), weighted by utilization of the following provider specialty types: physical medicine and rehabilitation and speech-language pathologists. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,,,,
