Table 1: Contract Year (CY) 2027 Mental Health Specialty Services Medicare FFS Data Projections,,,,,
Provider Specialties,Office Allowed Professional Costs (excluding drugs),Number of Visits,Percent of Total,Weighted Average (Column B x D),
Clinical Psychologist ,235.00,"724,997",21.85%,$51.34,
Licensed Clinical Social Worker,132.00,"1,174,054",35.38%,$46.70,
Psychiatry ,185.00,"1,004,492",30.27%,$56.00,
Marriage and Family Therapists,132.00,"60,871",1.83%,$2.42,
Mental Health Counselors,115.00,"354,023",10.67%,$12.27,
Mental Health Specialty Services (Total),,"3,318,437",100.00%,$168.73,
,,,,,
,,,,,
Table 2: Contract Year (CY) 2027 Mental Health Specialty Services Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP,
Actuarially Equivalent Copayment Value Calculation,,,,,
A,CY 2027 projected total average Medicare FFS allowed amount*,$168.73 ,,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%,
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$84.37 ,$67.49 ,$50.62 ,
D,Final CY 2027 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$85.00 ,$65.00 ,$50.00 ,
"*This amount is based on 2025 Medicare FFS cost and utilization data of provider specialties in an office setting and the Office of the Actuary's (OACT's) projections of cost changes between 2025 to 2027. This amount represents the CY 2027 projected total average Medicare FFS allowed amount per mental health specialty visit (excluding drug costs), weighted by utilization of the following provider specialty types: clinical psychologist, licensed clinical social worker, and psychiatry. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,,,,
