Table 1: Contract Year (CY) 2027 Physical Therapy and Speech-language Pathology Medicare FFS Data Projections,,,,,
Provider Specialties,Office Allowed Professional Costs (excluding drugs),Number of Visits,Percent of Total,Weighted Average (Column B x D),
Physical Medicine and Rehabilitation,191.00,"1,270,034",87.08%,$166.33,
Speech-language pathologists,139.00,"188,413",12.92%,$17.96,
Physical Therapy and Speech-language Pathology (Total),,"1,458,447",100.00%,$184.28,
,,,,,
,,,,,
Table 2: Contract Year (CY) 2027 Physical Therapy and Speech-language Pathology Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP,
A,CY 2027 projected total average Medicare FFS allowed amount*,$184.28 ,,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%,
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$92.14 ,$73.71 ,$55.28 ,
D,Final CY 2027 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$90.00 ,$75.00 ,$55.00 ,
"*This amount is based on 2025 Medicare FFS cost and utilization data of provider specialties in an office setting and the Office of the Actuary's (OACT's) projections of cost changes between 2025 to 2027. This amount represents the CY 2027 projected total average Medicare FFS allowed amount per physical therapy or speech-therapy visit (excluding drug costs), weighted by utilization of the following provider specialty types: physical medicine and rehabilitation and speech-language pathologists. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,,,,
