Table 1: Contract Year (CY) 2027 Primary Care Physician Medicare FFS Data Projections,,,,
Provider Specialties,Office Allowed Professional Costs (excluding drugs),Number of Visits,Percent of Total,Weighted Average (Column B x D)
Family Practice ,$135.00,"12,031,987",48.62%,$65.63
General Practice,$159.00,"441,561",1.78%,$2.84
Internal Medicine ,$141.00,"11,987,590",48.44%,$68.30
Geriatric Medicine,$137.00,"287,171",1.16%,$1.59
Primary Care Physician (Total),,"24,748,309",100.00%,$138.36
,,,,
,,,,
Table 2: Contract Year (CY) 2027 Primary Care Physician Copayment Limits by Maximum Out-of-Pocket (MOOP) Type,,,,
Row Reference,Description,Lower MOOP,Intermediate MOOP,Mandatory MOOP
A,CY 2027 projected total average Medicare FFS allowed amount*,$138.36 ,,
B,CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F),50%,40%,30%
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(iii)(F) (row A multiplied by row B)  ,$69.18 ,$55.34 ,$41.51 
D,Final CY 2027 copayment limit per § 422.100(f)(6)(iii) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$70.00 ,$55.00 ,$40.00 
"*This amount is based on 2025 Medicare FFS cost and utilization data of provider specialties in an office setting and the Office of the Actuary's (OACT's) projections of cost changes between 2025 to 2027. This amount represents the CY 2027 projected total average Medicare FFS allowed amount per primary care visit (excluding drug costs), weighted by utilization of the following provider specialty types: family practice, general practice, internal medicine, and geriatric medicine. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,,,
